ID Produit Cave,Nom Produit (la-cave-privee),URL Produit Cave,Statut,Score Matching (%),Nom Produit Corniche,Fichier Image Local,URL Image Corniche (originale)
28,Liqueur de Banane SLAUR 70cl,https://www.la-cave-privee.com/fr/products/liqueur-de-banane-slaur-70cl/details?sm=spiritueux-importes,❌ Non trouvé,,,,
29,Liqueur de Cacao SLAUR - 70cl,https://www.la-cave-privee.com/fr/products/-liqueur-de-cacao-slaur-70cl/details?sm=spiritueux-importes,✅ Matché,64.2,CHATEAU DE FLEUR ROSE 75CL,chateau_de_fleur_rose_75cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/CHATEAU-DE-FLEUR-ROSE-75CL-1-410x540.png
30,Liqueur de Café SLAUR - 70cl,https://www.la-cave-privee.com/fr/products/liqueur-de-cafe-slaur-70cl/details?sm=spiritueux-importes,✅ Matché,65.4,CHATEAU DE FLEUR ROSE 75CL,chateau_de_fleur_rose_75cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/CHATEAU-DE-FLEUR-ROSE-75CL-1-410x540.png
31,Liqueur de Cassis SLAUR 70cl,https://www.la-cave-privee.com/fr/products/-liqueur-de-cassis-slaur-70cl/details?sm=spiritueux-importes,❌ Non trouvé,,,,
32,Liqueur de Fraise SLAUR - 70cl,https://www.la-cave-privee.com/fr/products/liqueur-de-fraise-slaur-70cl/details?sm=spiritueux-importes,❌ Non trouvé,,,,
33,Liqueur de Framboise SLAUR - 70cl,https://www.la-cave-privee.com/fr/products/liqueur-de-framboise-slaur-70cl/details?sm=spiritueux-importes,❌ Non trouvé,,,,
34,Rhum Brun Century Old House - 70cl,https://www.la-cave-privee.com/fr/products/rhum-brun-century-old-house-70cl/details?sm=spiritueux-importes,✅ Matché,66.7,CUERPO RHUM BRUN 70 CL,cuerpo_rhum_brun_70_cl.jpg,https://boissonlacorniche.com/wp-content/uploads/2025/05/CUERPO-RHUM-BRUN-70-CL-410x540.jpg
35,Vodka  SACHA Madarine - 70cl,https://www.la-cave-privee.com/fr/products/vodka-sacha-madarine-70cl/details?sm=spiritueux-importes,✅ Matché,68.0,VODKA SAVAGE RABBIT 70 CL,vodka_savage_rabbit_70_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/10/Savage_Rabbit__02267-410x540.png
36,Vodka  SACHA Nature - 50cl,https://www.la-cave-privee.com/fr/products/vodka-sacha-nature-50cl/details?sm=spiritueux-importes,✅ Matché,66.7,VODKA SAVAGE RABBIT 70 CL,vodka_savage_rabbit_70_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/10/Savage_Rabbit__02267-410x540.png
37,Vodka MAGIC MOMENTS GRAIN  18 cl,https://www.la-cave-privee.com/fr/products/vodka-magic-moments-grain-18-cl/details?sm=spiritueux-importes,✅ Matché,60.7,VODKA SAVAGE RABBIT 70 CL,vodka_savage_rabbit_70_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/10/Savage_Rabbit__02267-410x540.png
38,"Vodka MAGIC MOMENTS GRAIN VODKA -  37,5 cl",https://www.la-cave-privee.com/fr/products/vodka-magic-moments-grain-vodka-375-cl/details?sm=spiritueux-importes,❌ Non trouvé,,,,
